Código;Nome;Turma;Módulo;Tipo de Oferta;Seg;Ter;Qua;Qui;Sex;Sab
GGE00125;A GEOGRAFIA DOS BLOCOS MUNDIAIS DO PODER;A1;60;Presencial;18:00-22:00;;;;;
GGE00125;A GEOGRAFIA DOS BLOCOS MUNDIAIS DO PODER;J1;62;Presencial;;;18:00-22:00;;;
STA00160;ADMINISTRAÇÃO PÚBLICA;P1;83;Presencial;;;;18:00-22:00;;
SEN00191;ALOCAÇÃO DE ATIVOS DE RISCO;P1;50;Presencial;;;;;18:00-22:00;
STC00116;ANÁLISE DE BALANÇO;P2;60;Presencial;;;18:00-22:00;;;
SEN00214;ANÁLISE DE SÉRIES TEMPORAIS I;A1;50;Presencial;;;;;;09:00-13:00
SEN00186;ANÁLISE ECONÔMICA DE POLÍTICAS SOCIAIS;A1;53;Presencial;;;;;09:00-13:00;
GCV00160;CINEMA E ESTÉTICA I;C2;60;Presencial;;;;;18:00-22:00;
GCV00270;CINEMA, ESTÉTICA E POLÍTICA;C1;62;Presencial;;18:00-22:00;;;;
STC00115;CONTABILIDADE GERAL;P1;61;Presencial;;;14:00-18:00;;;
SDB00171;DIREITO FINANCEIRO E TRIBUTÁRIO I;A1;60;Presencial;;07:00-09:00;;07:00-09:00;;
SEN00244;ECOLOGICAL ECONOMICS;A1;50;Presencial;;;14:00-18:00;;;
SEN00176;ECON BRAS NOS ANOS RECENT E PERSPECTIVAS;A1;50;Presencial;09:00-11:00;;09:00-11:00;;;
SEN00176;ECON BRAS NOS ANOS RECENT E PERSPECTIVAS;P1;50;Presencial;20:00-22:00;;20:00-22:00;;;
SEN00259;ECONOMETRIA;A1;40;Presencial;07:00-09:00;;07:00-09:00;;07:00-09:00;
SEN00259;ECONOMETRIA;P1;60;Presencial;;20:00-22:00;;20:00-22:00;18:00-20:00;
SEN00121;ECONOMETRIA II;A1;50;Presencial;;11:00-13:00;;11:00-13:00;;
