Codigo;Nome;Turma;Professor;CH_total;Seg;Ter;Qua;Qui;Sex;Sab;Link
GGE00125;A GEOGRAFIA DOS BLOCOS MUNDIAIS DO PODER;A1;Luis Silva;60;18:00-22:00;;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000449123
GGE00125;A GEOGRAFIA DOS BLOCOS MUNDIAIS DO PODER;J1;Timo Bartholl;60;;;18:00-22:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000449119
STA00160;ADMINISTRAÇÃO PÚBLICA;P1;Frederico Costa;60;;;;18:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440932
SEN00191;ALOCAÇÃO DE ATIVOS DE RISCO;P1;Andre Oliveira;60;;;;;18:00-22:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447991
STC00116;ANÁLISE DE BALANÇO;P2;Roberto Vieira;60;;;18:00-22:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000448514
SEN00214;ANÁLISE DE SÉRIES TEMPORAIS I;A1;Antonio Cunha;60;;;;;;09:00-13:00;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447822
SEN00186;ANÁLISE ECONÔMICA DE POLÍTICAS SOCIAIS;A1;Fabio Waltenberg;60;;;;;09:00-13:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447820
GCV00160;CINEMA E ESTÉTICA I;C2;Cezar Migliorin;60;;;;;18:00-22:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440539
GCV00270;CINEMA, ESTÉTICA E POLÍTICA;C1;Cezar Migliorin;60;;18:00-22:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440569
STC00115;CONTABILIDADE GERAL;P1;Luciana Santos;60;;;14:00-18:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000448515
SDB00171;DIREITO FINANCEIRO E TRIBUTÁRIO I;A1;Paulo Corval;60;;07:00-09:00;;07:00-09:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000446241
SEN00244;ECOLOGICAL ECONOMICS;A1;Roldan Sarache;60;;;14:00-18:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447826
SEN00176;ECON BRAS NOS ANOS RECENT E PERSPECTIVAS;A1;Tiago Oliveira;60;09:00-11:00;;09:00-11:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447812
SEN00176;ECON BRAS NOS ANOS RECENT E PERSPECTIVAS;P1;Carlos Vidotto;60;20:00-22:00;;20:00-22:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000448900
SEN00259;ECONOMETRIA;A1;Jesus Obregon;90;07:00-09:00;;07:00-09:00;;07:00-09:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447785
SEN00259;ECONOMETRIA;P1;Diogo Braga;90;;20:00-22:00;;20:00-22:00;18:00-20:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447950
SEN00121;ECONOMETRIA II;A1;Danielle Machado;60;;11:00-13:00;;11:00-13:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447819
SEN00260;ECONOMIA BRASILEIRA I;A1;Juliane Furno;60;09:00-11:00;;09:00-11:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447790
SEN00260;ECONOMIA BRASILEIRA I;P1;Carlos Vidotto;60;18:00-20:00;;18:00-20:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447953
SEN00261;ECONOMIA BRASILEIRA II;A1;Victor Araujo;60;09:00-11:00;;09:00-11:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447794
SEN00261;ECONOMIA BRASILEIRA II;P1;Fernando Mattos;60;18:00-20:00;;18:00-20:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447954
SEN00149;ECONOMIA DA ENERGIA;A1;Niagara Silva;60;;11:00-13:00;;11:00-13:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447818
STA00229;ECONOMIA DO SETOR PÚBLICO E REGULAÇÃO;P1;Denise Almeida;60;;18:00-22:00;;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440946
SEN00133;ECONOMIA DO TRABALHO;P1;Jorge Britto;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000449154
SEN00258;ECONOMIA FINANCEIRA;A1;Regis Motta;60;;11:00-13:00;;11:00-13:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447789
SEN00258;ECONOMIA FINANCEIRA;P1;Lilian Silva;60;;20:00-22:00;;20:00-22:00;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447952
SEN00111;ECONOMIA INTERNACIONAL;P1;Andre Nassif;60;20:00-22:00;;20:00-22:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447968
SEN00178;ECONOMIA MATEMATICA;A1;Jesus Obregon;60;;;;;11:00-13:00,14:00-16:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447823
SEN00118;ECONOMIA MONETÁRIA;P1;Luiz Fonseca;60;18:00-20:00;;18:00-20:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447962
GCV00304;ECONOMIA POLÍTICA DO AUDIOVISUAL;C1;Lia Cesario;60;;;09:00-13:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000440556
SEN00227;ECONOMIA POLÍTICA DO MEIO AMBIENTE;P1;Eduardo Cruz;60;;;;;18:00-22:00;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447982
SEN00086;ECONOMIA POLÍTICA II;P1;Filipe Pinheiro;60;18:00-20:00;;18:00-20:00;;;;https://app.uff.br/graduacao/quadrodehorarios/turmas/100000447957
